what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1328181437113
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1328181437113
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1328181437113
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1328181437114
os,sysinfo,,,"macosx",1328181437139
arch,sysinfo,,,"x86",1328181437139
ws,sysinfo,,,"cocoa",1328181437139
locale,sysinfo,,,"ko_KR",1328181437139
processors,sysinfo,,,"2",1328181437139
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1328181437139
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-10M3527",1328181437139
java.specification.name,sysinfo,,,"Java Platform API Specification",1328181437139
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328181437139
java.specification.version,sysinfo,,,"1.6",1328181437139
java.vendor,sysinfo,,,"Apple Inc.",1328181437139
java.version,sysinfo,,,"1.6.0_29",1328181437139
java.vm.info,sysinfo,,,"mixed mode",1328181437139
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1328181437139
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1328181437139
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328181437139
java.vm.specification.version,sysinfo,,,"1.0",1328181437139
java.vm.vendor,sysinfo,,,"Apple Inc.",1328181437139
java.vm.version,sysinfo,,,"20.4-b02-402",1328181437139
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1328181437394
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1328181437410
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1328181437526
started,bundle,org.eclipse.dltk.core.index.sql,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql",1328181437674
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1328181437698
started,bundle,com.aptana.browser,3.0.0.1311379722,"com.aptana.browser",1328181437843
started,bundle,com.aptana.configurations,3.0.3.1310755723,"com.aptana.configurations",1328181437891
opened,editor,com.aptana.portal.ui,3.0.0.1312501587,"com.aptana.portal.ui.browser.startPage",1328181437920
started,bundle,com.aptana.preview,3.0.0.1309394487,"com.aptana.preview",1328181437950
activated,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1328181438011
activated,editor,com.aptana.portal.ui,3.0.0.1312501587,"com.aptana.portal.ui.browser.startPage",1328181438217
